?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/UBERON_0008266>	"The fibrous connective tissue that surrounds the root of a tooth, separating it from and attaching it to the alveolar bone. It extends from the base of the gingival mucosa to the fundus of the bony socket, and its main function is to hold the tooth in its socket[BTO]."	"BTO:0001020 Wikipedia:Periodontal_fiber CALOHA:TS-0763 EMAPA:35679 SCTID:245775004 FMA:56665 GAID:1259 MA:0002467"
<http://purl.obolibrary.org/obo/CL_0000694>		
<http://purl.obolibrary.org/obo/GO_0061105>	"Any process that modulates the rate, frequency or extent of the differentiation of a neuroendocrine cell in the stomach."	
<http://purl.obolibrary.org/obo/GO_0021630>	"A developmental process, independent of morphogenetic (shape) change, that is required for the olfactory nerve to attain its fully functional state. The olfactory nerve is a collection of sensory nerve rootlets that extend down from the olfactory bulb to the olfactory mucosa of the upper parts of the nasal cavity. This nerve conducts odor information to the brainstem."	
<http://purl.obolibrary.org/obo/CL_0010014>		
<http://purl.obolibrary.org/obo/GO_0140075>	"Any process that controls lipoprotein transport."	
<http://purl.obolibrary.org/obo/GO_0061108>	"The progression of the seminal vesicle epithelium over time, from its formation to the mature structure."	
<http://purl.obolibrary.org/obo/GO_0050768>	"Any process that stops, prevents, or reduces the frequency, rate or extent of neurogenesis, the generation of cells within the nervous system."	
<http://purl.obolibrary.org/obo/CL_0000881>	"A border associated macrophage that is adjacent to a small blood vessel of a brain. A perivascular macrophage expresses the markers CD14, CD16 and CD163. In homeostatic conditions, this central nervous system macrophage has a non-motile cell body with extending and retracting projections through the blood vessel wall."	
<http://purl.obolibrary.org/obo/GO_1905902>	"Any process that modulates the frequency, rate or extent of mesoderm formation."	
<http://purl.obolibrary.org/obo/GO_2000981>	"Any process that stops, prevents or reduces the frequency, rate or extent of inner ear receptor cell differentiation."	
<http://purl.obolibrary.org/obo/UBERON_0003703>	"Passages external to the liver for the conveyance of bile. These include the common bile duct and the common hepatic duct."	"NCIT:C32573 MESH:D017734 SCTID:276158002 MA:0002659 UMLS:C0206187 GAID:281 FMA:14678"
<http://purl.obolibrary.org/obo/UBERON_0010709>	"Appendage girdle complex that when present, encompasses the pelvic appendicular skeleton and the pelvic girdle."	"VSAO:0000215 FMA:7184 EMAPA:37863 SCTID:416631005"
<http://purl.obolibrary.org/obo/GO_0051968>	"Any process that activates, maintains or increases the frequency, rate or extent of glutamatergic synaptic transmission, the process of communication from a neuron to another neuron across a synapse using the neurotransmitter glutamate."	
<http://purl.obolibrary.org/obo/UBERON_0000101>	"A lung lobe is one of the rounded projections that compose the lung[GO]."	"NCIT:C34021 galen:LobeOfLung UMLS:C0225752 EMAPA:36281 MA:0003098 FMA:7311 SCTID:245524004"
<http://purl.obolibrary.org/obo/UBERON_0015482>	"A hepatic artery that is part of a right lobe of liver."	"EMAPA:37376 FMA:14778 MA:0003097"
<http://purl.obolibrary.org/obo/CL_0002450>	"A specialized hair cell that has an elongated kinocilium upon which an otolith accretes. The tether cell then anchors the otolith in place."	
<http://purl.obolibrary.org/obo/GO_0034769>	"The controlled breakdown of the basement membrane in the context of a normal process such as imaginal disc eversion."	
<http://purl.obolibrary.org/obo/GO_0060707>	"The process in which a relatively unspecialized cell acquires specialized features of a trophoblast giant cell of the placenta. Trophoblast giant cells are the cell of the placenta that line the maternal decidua."	
<http://purl.obolibrary.org/obo/UBERON_0006210>		"EMAPA:16893 EHDAA:3217 EHDAA2:0000179"
<http://purl.obolibrary.org/obo/CL_0000556>	"A large hematopoietic cell (50 to 100 micron) with a lobated nucleus. Once mature, this cell undergoes multiple rounds of endomitosis and cytoplasmic restructuring to allow platelet formation and release."	"CALOHA:TS-0611 FMA:83555 BTO:0000843"
<http://purl.obolibrary.org/obo/GO_0035777>	"The process whose specific outcome is the progression of the pronephric distal tubule over time, from its formation to the mature structure. A pronephric nephron tubule is an epithelial tube that is part of the pronephros."	
<http://purl.obolibrary.org/obo/PR_P59901>	"A leukocyte immunoglobulin-like receptor subfamily A member 4 that is encoded in the genome of human."	"UniProtKB:P59901"
<http://purl.obolibrary.org/obo/GO_1905811>	"Any process that stops, prevents or reduces the frequency, rate or extent of excitatory synapse pruning."	
<http://purl.obolibrary.org/obo/CL_0002521>	"An adipocyte that is part of subcutaneous adipose tissue."	
<http://purl.obolibrary.org/obo/NCBITaxon_89593>		"GC_ID:1"
<http://purl.obolibrary.org/obo/GO_0097237>	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a toxic stimulus."	
<http://purl.obolibrary.org/obo/UBERON_0002522>	"The middle layer of an artery or vein. [WP,unvetted]."	"SCTID:61695000 BTO:0002011 MA:0002855 MESH:D017540 NCIT:C33821 GAID:170 UMLS:C0162867 EMAPA:36298 Wikipedia:Tunica_media FMA:55590"
<http://purl.obolibrary.org/obo/UBERON_0014705>	"An epithelium that is part of a median lingual swelling."	"EHDAA2:0001085 EMAPA:17188"
<http://purl.obolibrary.org/obo/GO_2001141>	"Any process that modulates the frequency, rate or extent of RNA biosynthetic process."	
<http://purl.obolibrary.org/obo/UBERON_0001780>	"The any of the paired peripheral nerves formed by the union of the dorsal and ventral spinal roots from each spinal cord segment[MP,modified]."	"SCTID:361099009 GAID:841 MESH:D013127 VHOG:0000824 MA:0000233 BTO:0000870 FMA:5858 Wikipedia:Spinal_nerve NCIT:C12792 neuronames:1228 EMAPA:16989 AAO:0011101 BAMS:spin EHDAA2:0001898 UMLS:C0037941 XAO:0003101"
<http://purl.obolibrary.org/obo/GO_1904014>	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a serotonin stimulus."	
<http://purl.obolibrary.org/obo/GO_1904835>	"The developmental process by which a dorsal root ganglion is generated and organized."	
<http://purl.obolibrary.org/obo/UBERON_0010071>		"FMA:56732"
<http://purl.obolibrary.org/obo/CL_1000352>	"A basal cell that is part of the epithelium of bronchiole."	"FMA:263126"
<http://purl.obolibrary.org/obo/CL_0003045>	"A bistratified ganglion cell with larger, asymetric dendritic fields that terminate in S2 and S4."	
<http://purl.obolibrary.org/obo/GO_0002867>	"Any process that modulates the frequency, rate, or extent of B cell deletion."	
<http://purl.obolibrary.org/obo/GO_0032225>	"Any process that modulates the frequency, rate or extent of dopaminergic synaptic transmission, the process of communication from a neuron to another neuron across a synapse using the neurotransmitter dopamine."	
<http://purl.obolibrary.org/obo/GO_0097534>	"The orderly movement of a lymphoid lineage cell from one site to another. A lymphoid lineage cell, also called a lymphoid lineage restricted progenitor cell, is a progenitor cell restricted to the lymphoid lineage."	
<http://purl.obolibrary.org/obo/UBERON_0001745>	"A lymphoid follicle that contains a germinal center."	"GAID:946 FMA:55224"
<http://purl.obolibrary.org/obo/GO_0031253>	"The portion of the plasma membrane surrounding a plasma membrane bounded cell surface projection."	
<http://purl.obolibrary.org/obo/CL_0002352>	"A hematopoietic stem cell that exists during embryogenesis."	
<http://purl.obolibrary.org/obo/UBERON_0003500>	"A blood vessel that is part of a cornea [Automatically generated definition]."	"MA:0001241 EMAPA:36611"
<http://purl.obolibrary.org/obo/UBERON_0003556>	"An arachnoid mater that is part of a forebrain [Automatically generated definition]."	"EMAPA:37544 MA:0000884"
<http://purl.obolibrary.org/obo/UBERON_0005258>	"Mesenchyme that is part of a developing forelimb stylopod [Automatically generated definition]."	"VHOG:0000505 EHDAA2:0002114 EMAPA:17426"
<http://purl.obolibrary.org/obo/UBERON_0035398>		"UMLS:C0447038 NCIT:C32552 SCTID:244216003 FMA:70505"
<http://purl.obolibrary.org/obo/UBERON_0035132>		"EMAPA:35982"
<http://purl.obolibrary.org/obo/GO_0060497>	"Any process that mediates the transfer of information between a mesenchymal cell and an endodermal cell."	
<http://purl.obolibrary.org/obo/UBERON_0001072>	"A vein that carries deoxygenated blood from the lower half of the body into the right atrium of the heart."	"EMAPA:18416 XAO:0000388 FMA:10951 galen:InferiorVenaCava MESH:D014682 GAID:548 VHOG:0001194 SCTID:181369003 EHDAA2:0000611 UMLS:C0042458 Wikipedia:Inferior_vena_cava BTO:0002682 NCIT:C12815 AAO:0011083 MA:0000480"
<http://purl.obolibrary.org/obo/GO_0060451>	"Any process that decreases the frequency, rate or extent of muscle contraction of the hindgut, the posterior part of the alimentary canal, including the rectum, and the large intestine."	
<http://purl.obolibrary.org/obo/UBERON_0001770>	"The part of the lacrimal duct that connects the lacrimal punctum to the lacrimal sac."	"NCIT:C32907 SCTID:263348000 UMLS:C0459631 EMAPA:37624 FMA:58245 Wikipedia:Lacrimal_canaliculi MA:0001294"
<http://purl.obolibrary.org/obo/CL_0000232>	"A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen."	"FMA:81100 CALOHA:TS-0290 BTO:0000424"
<http://purl.obolibrary.org/obo/UBERON_0005296>	"Structures that develop from sex cords in the female. After further development they become the ovarian follicles."	"NCIT:C34134 VHOG:0001339 EMAPA:31058 UMLS:C1511527 EHDAA2:0001363 EHDAA:8130 Wikipedia:Cortical_cords"
<http://purl.obolibrary.org/obo/UBERON_0001228>	"Tip of renal pyramid projecting into a minor calyx."	"BTO:0003925 SCTID:362214007 Wikipedia:Renal_papilla galen:RenalPapilla FMA:15622 EMAPA:35727 UMLS:C0022666 MESH:D007679 NCIT:C33460 MA:0002730"
<http://purl.obolibrary.org/obo/UBERON_0006222>	"The foremost region of the future forebrain that develops into the diencephalon."	"EHDAA:844 EHDAA2:0000600 RETIRED_EHDAA2:0000386 ZFA:0000574 EFO:0003442 EMAPA:16514 TAO:0000574"
<http://purl.obolibrary.org/obo/GO_0033371>	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a secretory granule in a T cell. A secretory granule is a small subcellular vesicle, surrounded by a membrane, that is formed from the Golgi apparatus and contains a highly concentrated protein destined for secretion."	
<http://purl.obolibrary.org/obo/GO_0048799>	"A developmental process, independent of morphogenetic (shape) change, that is required for an animal organ to attain its fully functional state. An organ is a tissue or set of tissues that work together to perform a specific function or functions."	
<http://purl.obolibrary.org/obo/CL_0002646>	"An ecto-epithelial cell of the buccal region of the viscerocranial mucosa."	"FMA:70577"
<http://purl.obolibrary.org/obo/GO_0043312>	"The regulated exocytosis of secretory granules containing preformed mediators such as proteases, lipases, and inflammatory mediators by a neutrophil."	
<http://purl.obolibrary.org/obo/GO_0061582>	"The orderly movement of an intestinal epithelial cell from one site to another, often during the development of a multicellular organism."	
<http://purl.obolibrary.org/obo/CL_0000690>		
<http://purl.obolibrary.org/obo/UBERON_0035131>		"EMAPA:35979"
<http://purl.obolibrary.org/obo/GO_0098794>	"The part of a synapse that is part of the post-synaptic cell."	
<http://purl.obolibrary.org/obo/GO_0009966>	"Any process that modulates the frequency, rate or extent of signal transduction."	
<http://purl.obolibrary.org/obo/GO_1903439>	"A protein complex which is capable of calcitonin family receptor activity. Calcitonin family receptors may form dimers, trimers or tetramers; adrenomedullin and amylin receptors have only been observed as dimers so far."	
<http://purl.obolibrary.org/obo/UBERON_0008775>	"A proximal epiphysis that is part of a fibula."	"galen:HeadOfFibula UMLS:C0223908 NCIT:C32719 SCTID:182080006 Wikipedia:Head_of_fibula EMAPA:37890 FMA:33729"
<http://purl.obolibrary.org/obo/CL_4023020>	"A gamma motor neuron that innervates dynamic nuclear bag fibers (bag1 fibers) and enhances the sensitivities of Ia sensory neurons. They alter muscle spindle sensitivity and increases its discharge in response to velocity of muscle length (rather than just magnitude)."	
<http://purl.obolibrary.org/obo/UBERON_0015280>	"A pancreatic lobule that is in_the_left_side_of a exocrine pancreas."	"MA:0000722 EMAPA:37711"
<http://purl.obolibrary.org/obo/GO_0050671>	"Any process that activates or increases the rate or extent of lymphocyte proliferation."	
<http://purl.obolibrary.org/obo/UBERON_0001250>	"The parenchymatous tissue network of the spleen that consists of loose plates or cords (sinuses) infiltrated with red blood cells where most of the blood filtration occurs and degenerate erythrocytes are removed from the circulation."	"NCIT:C12992 CALOHA:TS-1263 MA:0000756 Wikipedia:Red_pulp SCTID:27579002 FMA:15844 UMLS:C0229687 EMAPA:35806"
<http://purl.obolibrary.org/obo/CL_0009112>	"A germinal center B cell found in a lymph node germinal center dark zone."	
<http://purl.obolibrary.org/obo/GO_0030851>	"The process in which a myeloid precursor cell acquires the specialized features of a granulocyte. Granulocytes are a class of leukocytes characterized by the presence of granules in their cytoplasm. These cells are active in allergic immune reactions such as arthritic inflammation and rashes. This class includes basophils, eosinophils and neutrophils."	
<http://purl.obolibrary.org/obo/UBERON_0001608>	"A smooth muscle of the eye, running radially in the iris that functions as a dilator. [WP,unvetted]."	"BTO:0001371 EMAPA:35286 Wikipedia:Iris_dilator_muscle UMLS:C0229190 NCIT:C32463 FMA:49158 MA:0001288 SCTID:280890008"
<http://purl.obolibrary.org/obo/CL_0000418>	"An epithelial cell found in C. elegans that firmly hold the outer body wall and the lips to the inner cylinder of the pharynx in a manner that keeps these organs from breaking apart, while still giving each organ freedom of movement during feeding."	"WBbt:0005793"
<http://purl.obolibrary.org/obo/UBERON_0002513>	"Replacement bone that forms within cartilage."	"XAO:0004018 FMA:24321 AAO:0010776 AEO:0000083 EHDAA2:0003083 BTO:0002157 TAO:0001591 VSAO:0000145 ZFA:0001591"
<http://purl.obolibrary.org/obo/UBERON_0001769>	"The adjustable membrane, composed of the stroma and pigmented epithelium, located just in front of the crystalline lens within the eye."	"MA:0000273 Wikipedia:Iris_(anatomy) BTO:0000653 NCIT:C12737 EFO:0004245 VHOG:0000101 TAO:0001238 GAID:917 MESH:D007498 XAO:0000185 AAO:0010347 EMAPA:19154 FMA:58235 ZFA:0001238 SCTID:181164000 EV:0100345 CALOHA:TS-0491 UMLS:C0022077"
<http://purl.obolibrary.org/obo/GO_0051132>	"The change in morphology and behavior of a mature or immature natural killer T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."	
<http://purl.obolibrary.org/obo/CL_0007006>	"Mesodermal cell that is axially located and gives rise to the cells of the notochord."	
<http://purl.obolibrary.org/obo/GO_2000477>	"Any process that modulates the frequency, rate or extent of metanephric glomerular visceral epithelial cell development."	
<http://purl.obolibrary.org/obo/GO_1905962>	"The process in which a relatively unspecialized cell acquires the specialized features of a glutamatergic neuron."	
<http://purl.obolibrary.org/obo/UBERON_0010212>	"Apparatus located between the lungs and the buccal cavity. This apparatus is composed of a pair of arytenoid cartilages that are supported by the cricoid ring."	"AAO:0000267 EHDAA2:0000904"
<http://purl.obolibrary.org/obo/UBERON_0004696>	"A portion of smooth muscle tissue that is part of a venous system [Automatically generated definition]."	"MA:0000715 EMAPA:36613"
<http://purl.obolibrary.org/obo/UBERON_0035130>		
<http://purl.obolibrary.org/obo/UBERON_0011272>		"EHDAA2:0001845"
<http://purl.obolibrary.org/obo/CL_2000095>	"Any hematopoietic stem cell that is part of a umbilical cord blood."	
<http://purl.obolibrary.org/obo/GO_0061141>	"The process in which a relatively unspecialized cell acquires specialized features of a lung ciliated cell. A lung ciliated cell is a specialized lung epithelial cell that contains cilia for moving substances released from lung secretory cells."	
<http://purl.obolibrary.org/obo/GO_0032891>	"Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of organic acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/GO_0051148>	"Any process that stops, prevents, or reduces the frequency, rate or extent of muscle cell differentiation."	
<http://purl.obolibrary.org/obo/CL_0000295>	"A peptide hormone secreting cell that produces growth hormone, somatotropin."	
<http://purl.obolibrary.org/obo/UBERON_0012359>	"A bone that is part of a the pedal digitopodium skeleton - i.e. the toes or the metatarsal skeleton."	
<http://purl.obolibrary.org/obo/GO_0007143>	"A cell cycle process by which the cell nucleus divides as part of a meiotic cell cycle in the female germline."	
<http://purl.obolibrary.org/obo/GO_0002215>	"A response to protect an organism from a directly detected or perceived external threat from a nematode or nematodes, which results in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."	
<http://purl.obolibrary.org/obo/GO_0060043>	"Any process that modulates the frequency, rate or extent of cardiac muscle cell proliferation."	
<http://purl.obolibrary.org/obo/GO_0001677>	"Formation of a complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2 (either eIF2 in eukaryotes, or IF2 in prokaryotes). In prokaryotes, fMet-tRNA (initiator) is used rather than Met-tRNA (initiator)."	
<http://purl.obolibrary.org/obo/GO_0051608>	"The directed movement of histamine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Histamine is a physiologically active amine, found in plant and animal tissue and released from mast cells as part of an allergic reaction in humans."	
<http://purl.obolibrary.org/obo/CL_0007001>	"Cell that has the potential to form a skeletal cell type (e.g. cells in periosteum, cells in marrow) and produce extracellular matrix (often mineralized) and skeletal tissue (often mineralized)."	
<http://purl.obolibrary.org/obo/UBERON_0001568>	"The muscles associated with the larynx."	"UMLS:C0023054 NCIT:C32934 BTO:0001626 Wikipedia:Muscles_of_larynx GAID:144 MA:0001768 MESH:D007821 EMAPA:35473 FMA:46562 SCTID:181744001"
<http://purl.obolibrary.org/obo/CL_0000008>	"Cell that is part of the migratory cranial neural crest population. Migratory cranial neural crest cells develop from premigratory cranial neural crest cells and have undergone epithelial to mesenchymal transition and delamination."	
<http://purl.obolibrary.org/obo/UBERON_0006440>	"The ossified region of endochondral and membranous bone located in the clitoris of most mammals except humans; it is homologous to the penile bone (aka as baculum, penis bone or os penis) in male mammals."	"MA:0000387 EMAPA:30823"
<http://purl.obolibrary.org/obo/UBERON_0004066>	"The unpaired embryonic prominence that is formed by the tissues surrounding the forebrain vesicle and develops into the forehead and bridge of the nose/snout."	"Wikipedia:Frontonasal_prominence EHDAA:4778 EMAPA:16681 VHOG:0001319 SCTID:361486000 EHDAA2:0000578 NCIT:C34182 UMLS:C1517321 FMA:293101"
<http://purl.obolibrary.org/obo/UBERON_0003978>		"EHDAA:4406 FMA:67611 EHDAA2:0004046 galen:Valve EHDAA:1892"
<http://purl.obolibrary.org/obo/GO_0098876>	"The directed movement of substances to the plasma membrane in transport vesicles that fuse with the plasma membrane by exocytosis."	
<http://purl.obolibrary.org/obo/GO_0046878>	"Any process that activates or increases the frequency, rate or extent of the regulated release of saliva."	
<http://purl.obolibrary.org/obo/UBERON_0035004>		"EMAPA:35702"
<http://purl.obolibrary.org/obo/CL_0000567>		
<http://purl.obolibrary.org/obo/GO_0048562>	"Morphogenesis, during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."	
<http://purl.obolibrary.org/obo/GO_0050955>	"The series of events required for an organism to receive a temperature stimulus, convert it to a molecular signal, and recognize and characterize the signal. Thermoception in larger animals is mainly done in the skin; mammals have at least two types of sensor, for detecting heat (temperatures above body temperature) and cold (temperatures below body temperature)."	"Wikipedia:Thermoception"
<http://purl.obolibrary.org/obo/GO_0071697>	"The process in which the anatomical structures of an ectodermal placode are generated and organized. An ectodermal placode is a thickening of the ectoderm that is the primordium of many structures derived from the ectoderm."	
<http://purl.obolibrary.org/obo/GO_1904819>	"The process whose specific outcome is the progression of a parietal peritoneum over time, from its formation to the mature structure."	
<http://purl.obolibrary.org/obo/GO_1905664>	"Any process that modulates the frequency, rate or extent of calcium ion import across plasma membrane."	
<http://purl.obolibrary.org/obo/UBERON_0005129>	"The metanephric distal tubule is a metanephric nephron tubule that begins at the metanephric macula densa and extends to the metanephric connecting tubule[GO]."	
<http://purl.obolibrary.org/obo/GO_0048823>	"The process aimed at the progression of a nucleate erythrocyte over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."	
<http://purl.obolibrary.org/obo/CL_0009034>	"A dendritic cell that is located in a vermiform appendix."	
<http://purl.obolibrary.org/obo/UBERON_0016528>	"A white matter of cerebral lobe that is part of a frontal lobe."	"SCTID:362331002 FMA:256178"
<http://purl.obolibrary.org/obo/CL_0004226>	"An amacrine cell with a small dendritic field with post-synaptic terminals in S3 and S4."	
<http://purl.obolibrary.org/obo/UBERON_0034713>	"Any of the cranial nerves, or their central nervous system analogs (the optic tract, the epiphyseal tract). These analogs are not true nerves, and are instead evaginated sensory afferents emanating from the brain."	
