#curie_map:
#  FBbt: "http://purl.obolibrary.org/obo/FBbt_"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#mapping_provider: "http://purl.obolibrary.org/obo/FBbt.owl"
subject_id	subject_label	predicate_id	object_id	mapping_justification
FBbt:00001060	embryonic brain	semapv:crossSpeciesExactMatch	UBERON:6001060	semapv:ManualMappingCuration
FBbt:00001135	proneural cluster	semapv:crossSpeciesExactMatch	UBERON:6001135	semapv:ManualMappingCuration
FBbt:00001648	embryonic imaginal tissue	semapv:crossSpeciesExactMatch	UBERON:6001648	semapv:ManualMappingCuration
FBbt:00001649	imaginal disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001649	semapv:ManualMappingCuration
FBbt:00001650	labial disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001650	semapv:ManualMappingCuration
FBbt:00001652	eye-antennal disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001652	semapv:ManualMappingCuration
FBbt:00001653	dorsal thoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001653	semapv:ManualMappingCuration
FBbt:00001655	dorsal mesothoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001655	semapv:ManualMappingCuration
FBbt:00001656	dorsal metathoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001656	semapv:ManualMappingCuration
FBbt:00001657	ventral thoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001657	semapv:ManualMappingCuration
FBbt:00001658	ventral prothoracic disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001658	semapv:ManualMappingCuration
FBbt:00001661	genital disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001661	semapv:ManualMappingCuration
FBbt:00001662	male genital disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001662	semapv:ManualMappingCuration
FBbt:00001663	female genital disc primordium	semapv:crossSpeciesExactMatch	UBERON:6001663	semapv:ManualMappingCuration
FBbt:00001664	embryonic/larval circulatory system	semapv:crossSpeciesExactMatch	UBERON:6001664	semapv:ManualMappingCuration
FBbt:00001666	cardioblast	semapv:crossSpeciesExactMatch	CL:0000465	semapv:ManualMappingCuration
FBbt:00001668	embryonic/larval lymph gland	semapv:crossSpeciesExactMatch	UBERON:6001668	semapv:ManualMappingCuration
FBbt:00001685	embryonic/larval plasmatocyte	semapv:crossSpeciesExactMatch	CL:0000394	semapv:ManualMappingCuration
FBbt:00001687	lamellocyte	semapv:crossSpeciesExactMatch	CL:0000396	semapv:ManualMappingCuration
FBbt:00001689	procrystal cell	semapv:crossSpeciesExactMatch	CL:0000395	semapv:ManualMappingCuration
FBbt:00001690	embryonic/larval crystal cell	semapv:crossSpeciesExactMatch	CL:0000715	semapv:ManualMappingCuration
FBbt:00001691	polygonal cell	semapv:crossSpeciesExactMatch	CL:0000398	semapv:ManualMappingCuration
FBbt:00001718	retrocerebral complex	semapv:crossSpeciesExactMatch	UBERON:0012325	semapv:ManualMappingCuration
FBbt:00001722	ring gland	semapv:crossSpeciesExactMatch	UBERON:6001722	semapv:ManualMappingCuration
FBbt:00001727	larva	semapv:crossSpeciesExactMatch	UBERON:0002548	semapv:ManualMappingCuration
FBbt:00001728	larval tagma	semapv:crossSpeciesExactMatch	UBERON:6001728	semapv:ManualMappingCuration
FBbt:00001729	larval segment	semapv:crossSpeciesExactMatch	UBERON:6001729	semapv:ManualMappingCuration
FBbt:00001730	larval head	semapv:crossSpeciesExactMatch	UBERON:6001730	semapv:ManualMappingCuration
FBbt:00001731	larval ocular segment	semapv:crossSpeciesExactMatch	UBERON:6001731	semapv:ManualMappingCuration
FBbt:00001732	larval head segment	semapv:crossSpeciesExactMatch	UBERON:6001732	semapv:ManualMappingCuration
FBbt:00001733	larval procephalic segment	semapv:crossSpeciesExactMatch	UBERON:6001733	semapv:ManualMappingCuration
FBbt:00001734	larval labral segment	semapv:crossSpeciesExactMatch	UBERON:6001734	semapv:ManualMappingCuration
FBbt:00001735	larval antennal segment	semapv:crossSpeciesExactMatch	UBERON:6001735	semapv:ManualMappingCuration
FBbt:00001737	larval gnathal segment	semapv:crossSpeciesExactMatch	UBERON:6001737	semapv:ManualMappingCuration
FBbt:00001740	larval labial segment	semapv:crossSpeciesExactMatch	UBERON:6001740	semapv:ManualMappingCuration
FBbt:00001741	larval thorax	semapv:crossSpeciesExactMatch	UBERON:6001741	semapv:ManualMappingCuration
FBbt:00001742	larval thoracic segment	semapv:crossSpeciesExactMatch	UBERON:6001742	semapv:ManualMappingCuration
FBbt:00001743	larval prothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6001743	semapv:ManualMappingCuration
FBbt:00001744	larval mesothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6001744	semapv:ManualMappingCuration
FBbt:00001745	larval metathoracic segment	semapv:crossSpeciesExactMatch	UBERON:6001745	semapv:ManualMappingCuration
FBbt:00001746	larval abdomen	semapv:crossSpeciesExactMatch	UBERON:6001746	semapv:ManualMappingCuration
FBbt:00001747	larval abdominal segment	semapv:crossSpeciesExactMatch	UBERON:6001747	semapv:ManualMappingCuration
FBbt:00001755	larval abdominal segment 8	semapv:crossSpeciesExactMatch	UBERON:6001755	semapv:ManualMappingCuration
FBbt:00001756	larval abdominal segment 9	semapv:crossSpeciesExactMatch	UBERON:6001756	semapv:ManualMappingCuration
FBbt:00001760	larval imaginal tissue	semapv:crossSpeciesExactMatch	UBERON:6001760	semapv:ManualMappingCuration
FBbt:00001761	imaginal disc	semapv:crossSpeciesExactMatch	UBERON:0000939	semapv:ManualMappingCuration
FBbt:00001764	labial disc	semapv:crossSpeciesExactMatch	UBERON:6001764	semapv:ManualMappingCuration
FBbt:00001765	clypeo-labral disc	semapv:crossSpeciesExactMatch	UBERON:6001765	semapv:ManualMappingCuration
FBbt:00001766	eye-antennal disc	semapv:crossSpeciesExactMatch	UBERON:6001766	semapv:ManualMappingCuration
FBbt:00001767	antennal disc	semapv:crossSpeciesExactMatch	UBERON:6001767	semapv:ManualMappingCuration
FBbt:00001776	dorsal thoracic disc	semapv:crossSpeciesExactMatch	UBERON:6001776	semapv:ManualMappingCuration
FBbt:00001778	wing disc	semapv:crossSpeciesExactMatch	UBERON:6001778	semapv:ManualMappingCuration
FBbt:00001779	haltere disc	semapv:crossSpeciesExactMatch	UBERON:6001779	semapv:ManualMappingCuration
FBbt:00001780	ventral thoracic disc	semapv:crossSpeciesExactMatch	UBERON:6001780	semapv:ManualMappingCuration
FBbt:00001781	prothoracic leg disc	semapv:crossSpeciesExactMatch	UBERON:6001781	semapv:ManualMappingCuration
FBbt:00001784	genital disc	semapv:crossSpeciesExactMatch	UBERON:6001784	semapv:ManualMappingCuration
FBbt:00001785	male genital disc	semapv:crossSpeciesExactMatch	UBERON:6001785	semapv:ManualMappingCuration
FBbt:00001787	female genital disc	semapv:crossSpeciesExactMatch	UBERON:6001787	semapv:ManualMappingCuration
FBbt:00001789	histoblast	semapv:crossSpeciesExactMatch	CL:0000373	semapv:ManualMappingCuration
FBbt:00001790	histoblast nest	semapv:crossSpeciesExactMatch	UBERON:6001790	semapv:ManualMappingCuration
FBbt:00001842	embryonic/larval digestive system	semapv:crossSpeciesExactMatch	UBERON:6001842	semapv:ManualMappingCuration
FBbt:00001845	cephalopharyngeal skeleton	semapv:crossSpeciesExactMatch	UBERON:6001845	semapv:ManualMappingCuration
FBbt:00001848	epipharyngeal sclerite	semapv:crossSpeciesExactMatch	UBERON:6001848	semapv:ManualMappingCuration
FBbt:00001911	embryonic/larval nervous system	semapv:crossSpeciesExactMatch	UBERON:6001911	semapv:ManualMappingCuration
FBbt:00001919	embryonic/larval central nervous system	semapv:crossSpeciesExactMatch	UBERON:6001919	semapv:ManualMappingCuration
FBbt:00001920	embryonic/larval brain	semapv:crossSpeciesExactMatch	UBERON:6001920	semapv:ManualMappingCuration
FBbt:00001925	embryonic/larval protocerebrum	semapv:crossSpeciesExactMatch	UBERON:6001925	semapv:ManualMappingCuration
FBbt:00001956	optic nerve	semapv:crossSpeciesExactMatch	UBERON:0004904	semapv:ManualMappingCuration
FBbt:00002639	embryonic/larval sense organ	semapv:crossSpeciesExactMatch	UBERON:6002639	semapv:ManualMappingCuration
FBbt:00002642	embryonic/larval ocular segment sensillum	semapv:crossSpeciesExactMatch	UBERON:6002642	semapv:ManualMappingCuration
FBbt:00002952	prepupa	semapv:crossSpeciesExactMatch	UBERON:0003142	semapv:ManualMappingCuration
FBbt:00002953	pupa	semapv:crossSpeciesExactMatch	UBERON:0003143	semapv:ManualMappingCuration
FBbt:00003004	adult	semapv:crossSpeciesExactMatch	UBERON:0007023	semapv:ManualMappingCuration
FBbt:00003005	adult tagma	semapv:crossSpeciesExactMatch	UBERON:6003005	semapv:ManualMappingCuration
FBbt:00003006	adult segment	semapv:crossSpeciesExactMatch	UBERON:6003006	semapv:ManualMappingCuration
FBbt:00003007	adult head	semapv:crossSpeciesExactMatch	UBERON:6003007	semapv:ManualMappingCuration
FBbt:00003009	adult head segment	semapv:crossSpeciesExactMatch	UBERON:6003009	semapv:ManualMappingCuration
FBbt:00003010	adult procephalic segment	semapv:crossSpeciesExactMatch	UBERON:6003010	semapv:ManualMappingCuration
FBbt:00003011	adult labral segment	semapv:crossSpeciesExactMatch	UBERON:6003011	semapv:ManualMappingCuration
FBbt:00003012	adult antennal segment	semapv:crossSpeciesExactMatch	UBERON:6003012	semapv:ManualMappingCuration
FBbt:00003018	adult thorax	semapv:crossSpeciesExactMatch	UBERON:6003018	semapv:ManualMappingCuration
FBbt:00003019	adult thoracic segment	semapv:crossSpeciesExactMatch	UBERON:6003019	semapv:ManualMappingCuration
FBbt:00003020	adult prothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6003020	semapv:ManualMappingCuration
FBbt:00003021	adult mesothoracic segment	semapv:crossSpeciesExactMatch	UBERON:6003021	semapv:ManualMappingCuration
FBbt:00003023	adult abdomen	semapv:crossSpeciesExactMatch	UBERON:6003023	semapv:ManualMappingCuration
FBbt:00003024	adult abdominal segment	semapv:crossSpeciesExactMatch	UBERON:6003024	semapv:ManualMappingCuration
FBbt:00003039	adult dorsal trunk	semapv:crossSpeciesExactMatch	UBERON:6003039	semapv:ManualMappingCuration
FBbt:00003125	alimentary canal	semapv:crossSpeciesExactMatch	UBERON:0001555	semapv:ManualMappingCuration
FBbt:00003126	adult mouth	semapv:crossSpeciesExactMatch	UBERON:0000165	semapv:ManualMappingCuration
FBbt:00003154	adult heart	semapv:crossSpeciesExactMatch	UBERON:0015230	semapv:ManualMappingCuration
FBbt:00003219	adepithelial cell	semapv:crossSpeciesExactMatch	CL:0000462	semapv:ManualMappingCuration
FBbt:00003259	adult somatic muscle	semapv:crossSpeciesExactMatch	UBERON:6003259	semapv:ManualMappingCuration
FBbt:00003360	flight muscle cell	semapv:crossSpeciesExactMatch	CL:0000196	semapv:ManualMappingCuration
FBbt:00003559	adult nervous system	semapv:crossSpeciesExactMatch	UBERON:6003559	semapv:ManualMappingCuration
FBbt:00003623	adult central nervous system	semapv:crossSpeciesExactMatch	UBERON:6003623	semapv:ManualMappingCuration
FBbt:00003624	adult brain	semapv:crossSpeciesExactMatch	UBERON:6003624	semapv:ManualMappingCuration
FBbt:00003626	supraesophageal ganglion	semapv:crossSpeciesExactMatch	UBERON:6003626	semapv:ManualMappingCuration
FBbt:00003627	protocerebrum	semapv:crossSpeciesExactMatch	UBERON:6003627	semapv:ManualMappingCuration
FBbt:00003632	adult central complex	semapv:crossSpeciesExactMatch	UBERON:6003632	semapv:ManualMappingCuration
FBbt:00003686	Kenyon cell	semapv:crossSpeciesExactMatch	CL:0000673	semapv:ManualMappingCuration
FBbt:00003701	adult optic lobe	semapv:crossSpeciesExactMatch	UBERON:0006795	semapv:ManualMappingCuration
FBbt:00004101	peptidergic neuron	semapv:crossSpeciesExactMatch	CL:0000110	semapv:ManualMappingCuration
FBbt:00004114	head sensillum	semapv:crossSpeciesExactMatch	UBERON:0000963	semapv:ManualMappingCuration
FBbt:00004193	cone cell	semapv:crossSpeciesExactMatch	CL:0000718	semapv:ManualMappingCuration
FBbt:00004199	lens	semapv:crossSpeciesExactMatch	UBERON:0000207	semapv:ManualMappingCuration
FBbt:00004200	retina	semapv:crossSpeciesExactMatch	UBERON:0005388	semapv:ManualMappingCuration
FBbt:00004203	adult clypeo-labral anlage	semapv:crossSpeciesExactMatch	UBERON:6004203	semapv:ManualMappingCuration
FBbt:00004208	developing embryonic structure	semapv:crossSpeciesExactMatch	UBERON:0002050	semapv:ManualMappingCuration
FBbt:00004211	photoreceptor cell	semapv:crossSpeciesExactMatch	CL:2000019	semapv:ManualMappingCuration
FBbt:00004230	pigment cell	semapv:crossSpeciesExactMatch	CL:0001658	semapv:ManualMappingCuration
FBbt:00004296	sex comb	semapv:crossSpeciesExactMatch	UBERON:6004296	semapv:ManualMappingCuration
FBbt:00004340	wing hair	semapv:crossSpeciesExactMatch	UBERON:6004340	semapv:ManualMappingCuration
FBbt:00004475	sclerite	semapv:crossSpeciesExactMatch	UBERON:6004475	semapv:ManualMappingCuration
FBbt:00004476	tergite	semapv:crossSpeciesExactMatch	UBERON:6004476	semapv:ManualMappingCuration
FBbt:00004477	sternite	semapv:crossSpeciesExactMatch	UBERON:6004477	semapv:ManualMappingCuration
FBbt:00004481	adult external head	semapv:crossSpeciesExactMatch	UBERON:6004481	semapv:ManualMappingCuration
FBbt:00004482	head capsule	semapv:crossSpeciesExactMatch	UBERON:0003153	semapv:ManualMappingCuration
FBbt:00004492	occiput	semapv:crossSpeciesExactMatch	UBERON:0003155	semapv:ManualMappingCuration
FBbt:00004505	ocellus	semapv:crossSpeciesExactMatch	UBERON:0003161	semapv:ManualMappingCuration
FBbt:00004506	lateral ocellus	semapv:crossSpeciesExactMatch	UBERON:0003162	semapv:ManualMappingCuration
FBbt:00004507	medial ocellus	semapv:crossSpeciesExactMatch	UBERON:0003211	semapv:ManualMappingCuration
FBbt:00004508	eye	semapv:crossSpeciesExactMatch	UBERON:0000018	semapv:ManualMappingCuration
FBbt:00004510	ommatidium	semapv:crossSpeciesExactMatch	UBERON:0000971	semapv:ManualMappingCuration
FBbt:00004511	antenna	semapv:crossSpeciesExactMatch	UBERON:0000972	semapv:ManualMappingCuration
FBbt:00004519	arista	semapv:crossSpeciesExactMatch	UBERON:6004519	semapv:ManualMappingCuration
FBbt:00004520	mouthpart	semapv:crossSpeciesExactMatch	UBERON:6004520	semapv:ManualMappingCuration
FBbt:00004521	clypeus	semapv:crossSpeciesExactMatch	UBERON:6004521	semapv:ManualMappingCuration
FBbt:00004522	labrum	semapv:crossSpeciesExactMatch	UBERON:0005905	semapv:ManualMappingCuration
FBbt:00004535	proboscis	semapv:crossSpeciesExactMatch	UBERON:6004535	semapv:ManualMappingCuration
FBbt:00004540	rostrum	semapv:crossSpeciesExactMatch	UBERON:6004540	semapv:ManualMappingCuration
FBbt:00004551	adult external thorax	semapv:crossSpeciesExactMatch	UBERON:6004551	semapv:ManualMappingCuration
FBbt:00004552	tergum	semapv:crossSpeciesExactMatch	UBERON:6004552	semapv:ManualMappingCuration
FBbt:00004557	sternum	semapv:crossSpeciesExactMatch	UBERON:0003130	semapv:ManualMappingCuration
FBbt:00004578	adult external mesothorax	semapv:crossSpeciesExactMatch	UBERON:6004578	semapv:ManualMappingCuration
FBbt:00004579	dorsal mesothorax	semapv:crossSpeciesExactMatch	UBERON:6004579	semapv:ManualMappingCuration
FBbt:00004580	mesothoracic tergum	semapv:crossSpeciesExactMatch	UBERON:6004580	semapv:ManualMappingCuration
FBbt:00004640	leg	semapv:crossSpeciesExactMatch	UBERON:0005895	semapv:ManualMappingCuration
FBbt:00004642	tibia	semapv:crossSpeciesExactMatch	UBERON:0003131	semapv:ManualMappingCuration
FBbt:00004646	tarsal segment	semapv:crossSpeciesExactMatch	UBERON:6004646	semapv:ManualMappingCuration
FBbt:00004648	metatarsus	semapv:crossSpeciesExactMatch	UBERON:6004648	semapv:ManualMappingCuration
FBbt:00004663	prothoracic leg	semapv:crossSpeciesExactMatch	UBERON:6004663	semapv:ManualMappingCuration
FBbt:00004668	prothoracic tarsal segment	semapv:crossSpeciesExactMatch	UBERON:6004668	semapv:ManualMappingCuration
FBbt:00004670	prothoracic metatarsus	semapv:crossSpeciesExactMatch	UBERON:6004670	semapv:ManualMappingCuration
FBbt:00004729	wing	semapv:crossSpeciesExactMatch	UBERON:0000984	semapv:ManualMappingCuration
FBbt:00004751	wing vein	semapv:crossSpeciesExactMatch	UBERON:0003194	semapv:ManualMappingCuration
FBbt:00004783	haltere	semapv:crossSpeciesExactMatch	UBERON:0000987	semapv:ManualMappingCuration
FBbt:00004788	adult external abdomen	semapv:crossSpeciesExactMatch	UBERON:6004788	semapv:ManualMappingCuration
FBbt:00004823	analia	semapv:crossSpeciesExactMatch	UBERON:6004823	semapv:ManualMappingCuration
FBbt:00004824	female analia	semapv:crossSpeciesExactMatch	UBERON:6004824	semapv:ManualMappingCuration
FBbt:00004825	male analia	semapv:crossSpeciesExactMatch	UBERON:6004825	semapv:ManualMappingCuration
FBbt:00004850	phallus	semapv:crossSpeciesExactMatch	UBERON:0008811	semapv:ManualMappingCuration
FBbt:00004856	organ system	semapv:crossSpeciesExactMatch	UBERON:0000467	semapv:ManualMappingCuration
FBbt:00004857	reproductive system	semapv:crossSpeciesExactMatch	UBERON:0000990	semapv:ManualMappingCuration
FBbt:00004858	gonad	semapv:crossSpeciesExactMatch	UBERON:0000991	semapv:ManualMappingCuration
FBbt:00004861	germline stem cell	semapv:crossSpeciesExactMatch	CL:0000014	semapv:ManualMappingCuration
FBbt:00004864	female reproductive system	semapv:crossSpeciesExactMatch	UBERON:0000474	semapv:ManualMappingCuration
FBbt:00004865	ovary	semapv:crossSpeciesExactMatch	UBERON:0000992	semapv:ManualMappingCuration
FBbt:00004873	female germline stem cell	semapv:crossSpeciesExactMatch	CL:0000022	semapv:ManualMappingCuration
FBbt:00004878	nurse cell	semapv:crossSpeciesExactMatch	CL:0000026	semapv:ManualMappingCuration
FBbt:00004886	oocyte	semapv:crossSpeciesExactMatch	CL:0000023	semapv:ManualMappingCuration
FBbt:00004894	egg chamber	semapv:crossSpeciesExactMatch	UBERON:0003199	semapv:ManualMappingCuration
FBbt:00004903	follicle stem cell	semapv:crossSpeciesExactMatch	CL:0000441	semapv:ManualMappingCuration
FBbt:00004904	follicle cell	semapv:crossSpeciesExactMatch	CL:0000477	semapv:ManualMappingCuration
FBbt:00004905	border follicle cell	semapv:crossSpeciesExactMatch	CL:0000579	semapv:ManualMappingCuration
FBbt:00004906	centripetal follicle cell	semapv:crossSpeciesExactMatch	CL:0000671	semapv:ManualMappingCuration
FBbt:00004910	stalk follicle cell	semapv:crossSpeciesExactMatch	CL:0000674	semapv:ManualMappingCuration
FBbt:00004921	spermathecum	semapv:crossSpeciesExactMatch	UBERON:0000994	semapv:ManualMappingCuration
FBbt:00004924	uterus	semapv:crossSpeciesCloseMatch	UBERON:0006834	semapv:ManualMappingCuration
FBbt:00004927	male reproductive system	semapv:crossSpeciesExactMatch	UBERON:0000079	semapv:ManualMappingCuration
FBbt:00004928	testis	semapv:crossSpeciesExactMatch	UBERON:0000473	semapv:ManualMappingCuration
FBbt:00004929	male germline stem cell	semapv:crossSpeciesExactMatch	CL:0000016	semapv:ManualMappingCuration
FBbt:00004934	primary gonial cell	semapv:crossSpeciesExactMatch	CL:0000020	semapv:ManualMappingCuration
FBbt:00004935	spermatogonium	semapv:crossSpeciesExactMatch	CL:0000020	semapv:ManualMappingCuration
FBbt:00004936	spermatocyte	semapv:crossSpeciesExactMatch	CL:0000017	semapv:ManualMappingCuration
FBbt:00004941	secondary spermatocyte	semapv:crossSpeciesExactMatch	CL:0000657	semapv:ManualMappingCuration
FBbt:00004942	spermatid	semapv:crossSpeciesExactMatch	CL:0000018	semapv:ManualMappingCuration
FBbt:00004954	spermatozoon	semapv:crossSpeciesExactMatch	CL:0000019	semapv:ManualMappingCuration
